AICAR,VCAM1_rna,TEFM_rna,RP11-727A23.5_rna,FAM72C_cnv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Camptothecin,NDE1_rna,NDUFAF5_rna,TMC5_rna,CNOT6_rna,MSH6_rna,C16orf58_rna,SLC17A4_rna,RCAN1_rna,SMCP_rna,SOCS5_rna,CCL19_rna,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vinblastine,XYLT2_rna,CEACAM6_rna,GLI1_rna,RAP2A_rna,RGS10_rna,SEC24D_rna,CACNA1D_rna,SNF8_rna,FOXL2_rna,OLFML2A_rna,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cisplatin,ICA1_rna,GAL_rna,KIF16B_rna,EIF3A_rna,ART4_rna,GCH1_rna,PAM_rna,RGS10_rna,CCRN4L_rna,GUCY1A2_rna,KCTD15_rna,HTR5A_rna,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cytarabine,HEBP1_rna,SYT13_rna,HPS1_rna,IGFBP5_rna,CD58_rna,PDZRN3_rna,GCH1_rna,NOTCH2_rna,FOXF2_rna,GLIPR1_rna,ST18_rna,GUCY1A2_rna,NMNAT2_rna,CKB_rna,RP6-149D17.1_rna,TCTN1_rna,FAM84B_cnv,IZUMO1R_cnv,LOC388813_cnv,TIMM8B_cnv,TMPRSS13_cnv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Docetaxel,LMO3_rna,DBC1_rna,HPS1_rna,NIT2_rna,HEATR1_rna,SLC35D2_rna,CACNA1D_rna,FAM160B2_rna,ASRGL1_rna,EXO5_rna,DCUN1D5_cnv,LOC283575_cnv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Methotrexate,RASSF7_rna,SEC14L3_rna,SLC41A3_rna,SDC1_rna,ORC4_rna,HIP1_rna,LRRC49_rna,PTPRO_rna,AVPR1A_rna,HSPA1A_rna,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ATRA,ZMYND11_rna,APPBP2_rna,LEPROTL1_rna,PTPRZ1_rna,PCDH12_rna,C3orf14_rna,PDS5A_rna,HMG20A_rna,GALNT14_rna,ATF7IP2_rna,PRAME_rna,PLCG2_rna,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gefitinib,MRPS18A_rna,SCGB1D2_rna,KCTD14_rna,FAM182B_rna,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABT-263,ALDH3B1_rna,EHD2_rna,CNN2_rna,FSTL3_rna,PDS5B_rna,POLA1_rna,PIEZO1_rna,STX4_rna,SCG3_rna,SH3GL2_rna,ATP6V0E1_rna,MOGS_rna,ACYP1_rna,NPC2_rna,CD97_rna,THOC2_rna,PCNA_rna,IL15RA_rna,RAB11FIP5_rna,SLC31A2_rna,NUSAP1_rna,CERS2_rna,PARP1_rna,NCAPG2_rna,NCAPD3_rna,RNF219_rna,SETBP1_rna,DCK_rna,ASRGL1_rna,USP1_rna,WBP1L_rna,GNG4_rna,LAMB2_rna,CNTNAP2_rna,ZNF266_rna,ATAD5_rna,POLE_rna,PCLO_rna,TBC1D9B_rna,PSAP_rna,,,,,,,,,,
Vorinostat,RNF10_rna,CEACAM1_rna,TXLNG_rna,CSNK2A1_rna,TENC1_rna,TRIM38_rna,IFIH1_rna,IRF1_rna,C12orf29_rna,BAG3_rna,LRP5_rna,TNFRSF11B_rna,KIF5C_rna,UMOD_rna,CSDC2_rna,PSMG1_rna,IFIT1_rna,RP11-395B7.7_rna,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nilotinib,NUDT4_rna,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RDEA119,PLAUR_rna,CD44_rna,EVC_rna,PTGS2_rna,PLD1_rna,CXCL2_rna,FXYD5_rna,LGALS1_rna,RIN3_rna,TIMP1_rna,FGF9_rna,MAP3K8_rna,PITPNM1_rna,FAM184A_rna,KYNU_rna,NMI_rna,GNG11_rna,GSE1_rna,IER3_rna,MYOF_rna,AMT_rna,PTGES_rna,NBL1_rna,CXCL3_rna,CXCL1_rna,ZC3H12A_rna,KLF15_rna,BSN_rna,AXL_rna,RNF187_rna,KIF5C_rna,IL8_rna,LAMB2_rna,QARS_rna,TUBB6_rna,BDNF_rna,PDE2A_rna,TOR4A_rna,PPME1_rna,RP1-152L7.5_rna,,,,,,,,,,
