drugName,AUC,MCC,Accuracy,Kappa,AccuracyLower,AccuracyUpper,AccuracyNull,AccuracyPValue,McnemarPValue,Sensitivity,Specificity,Pos Pred Value,Neg Pred Value,Precision,Recall,F1,Prevalence,Detection Rate,Detection Prevalence,Balanced Accuracy
AICAR,0.8005,0.43415102672302,0.712777777777778,0.430574912891986,0.36604552715684,0.924842154959315,0.516666666666667,0.258799192661014,0.968309139830961,0.76,0.67,0.695,0.743333333333333,0.695,0.76,0.722121212121212,0.494444444444444,0.376388888888889,0.545555555555556,0.715
Camptothecin,0.88175,0.695571652064932,0.836388888888889,0.673048780487805,0.485524392450048,0.968857840659319,0.516666666666667,0.0917632779053662,0.763541182661264,0.855,0.82,0.847261904761905,0.872142857142857,0.847261904761905,0.855,0.837586857586858,0.494444444444444,0.420833333333333,0.510833333333333,0.8375
Vinblastine,0.87425,0.626107500200553,0.798333333333333,0.599257571696596,0.440011016901915,0.9659256553676,0.516666666666667,0.129236666220629,0.834478827862885,0.805,0.795,0.829761904761905,0.825833333333333,0.829761904761905,0.805,0.793513708513709,0.494444444444444,0.398611111111111,0.504444444444444,0.8
Cisplatin,0.9145,0.668221408972774,0.818333333333333,0.644279379157428,0.464770852350803,0.968446728000284,0.516666666666667,0.123865572470629,0.903734933615302,0.835,0.815,0.846666666666667,0.846666666666667,0.846666666666667,0.835,0.825505050505051,0.494444444444444,0.410833333333333,0.508888888888889,0.825
Cytarabine,0.902,0.664589512302729,0.827222222222222,0.653048780487805,0.476298786167084,0.97031888066669,0.516666666666667,0.122785546533338,0.934937515273369,0.85,0.805,0.828095238095238,0.846666666666667,0.828095238095238,0.85,0.832727272727273,0.494444444444444,0.418611111111111,0.515555555555556,0.8275
Docetaxel,0.86375,0.535009637600539,0.7575,0.512472460220318,0.403256400772824,0.94740744239594,0.516666666666667,0.198856138846438,0.816087586514317,0.77,0.745,0.790952380952381,0.766428571428571,0.790952380952381,0.77,0.763391053391053,0.494444444444444,0.379722222222222,0.5075,0.7575
Methotrexate,0.88025,0.602942729969697,0.794444444444445,0.586923076923077,0.447647579165517,0.954630513187667,0.516666666666667,0.179220170419782,0.899619466626547,0.765,0.82,0.826666666666667,0.795238095238095,0.826666666666667,0.765,0.782330447330447,0.494444444444444,0.376111111111111,0.463333333333333,0.7925
ATRA,0.81775,0.492396579926388,0.745,0.485769230769231,0.390384355985345,0.944152870500195,0.516666666666667,0.219266295096438,1,0.74,0.745,0.738333333333333,0.761666666666667,0.738333333333333,0.74,0.734545454545455,0.494444444444444,0.3675,0.495555555555556,0.7425
Gefitinib,0.75775,0.476743881810828,0.731111111111111,0.459915572232645,0.37632113770631,0.942136261415551,0.516666666666667,0.222251959445969,0.88652881564419,0.72,0.74,0.745,0.751309523809524,0.745,0.72,0.713354978354978,0.494444444444444,0.356111111111111,0.486666666666667,0.73
ABT-263,0.92675,0.687537896013665,0.828333333333333,0.656917293233083,0.475797629297171,0.972231600193757,0.516666666666667,0.112808113232491,0.691884445774973,0.735,0.92,0.93,0.794285714285714,0.93,0.735,0.801111111111111,0.494444444444444,0.366111111111111,0.409444444444444,0.8275
Vorinostat,0.92825,0.672430444316901,0.822777777777778,0.645,0.465830819403986,0.972836122039173,0.516666666666667,0.0830660644680755,0.739750061093477,0.795,0.85,0.863095238095238,0.83952380952381,0.863095238095238,0.795,0.810555555555555,0.494444444444444,0.393333333333333,0.469444444444444,0.8225
Nilotinib,0.627,0.153462946442498,0.571944444444444,0.149773519163763,0.242207426468011,0.860524381444119,0.516666666666667,0.495063052938518,0.923415015490395,0.59,0.56,0.562142857142857,0.595,0.562142857142857,0.59,0.567965367965368,0.494444444444444,0.290277777777778,0.514166666666667,0.575
RDEA119,0.925,0.679296276162758,0.835555555555556,0.67109756097561,0.48097178259809,0.972499495253321,0.516666666666667,0.0913998373197689,0.952134384681497,0.88,0.795,0.823809523809524,0.86,0.823809523809524,0.88,0.846060606060606,0.494444444444444,0.433333333333333,0.536666666666667,0.8375
CI-1040,0.91875,0.662776465546945,0.817222222222222,0.637334494773519,0.461174689493432,0.971950686519097,0.516666666666667,0.116437890283338,0.783952827112537,0.895,0.745,0.794761904761905,0.893095238095238,0.794761904761905,0.895,0.829040404040404,0.494444444444444,0.442222222222222,0.572777777777778,0.82
temsirolimus,0.9265,0.617618437392235,0.795833333333333,0.586449590204404,0.436187605818158,0.968421114475377,0.516666666666667,0.124989960882869,0.820721332336383,0.78,0.805,0.839166666666667,0.816190476190476,0.839166666666667,0.78,0.786035631035631,0.494444444444444,0.386111111111111,0.481944444444444,0.7925
AZD-2281,0.75,0.341730441065284,0.662777777777778,0.325054945054945,0.31096686880261,0.911863564254062,0.516666666666667,0.327317967747298,0.848236323389387,0.7,0.625,0.6575,0.703809523809524,0.6575,0.7,0.666266511266511,0.494444444444444,0.3475,0.537777777777778,0.6625
ABT-888,0.89625,0.648937068218898,0.799444444444444,0.602181159736463,0.436159541564228,0.971756207380764,0.516666666666667,0.10028873682016,0.664571368992469,0.875,0.73,0.804761904761905,0.893095238095238,0.804761904761905,0.875,0.813946608946609,0.494444444444444,0.432222222222222,0.570555555555555,0.8025
Bosutinib,0.87375,0.367838633334446,0.675,0.355574912891986,0.325309817679616,0.912818929769167,0.516666666666667,0.313016295096438,0.704495976273565,0.69,0.67,0.622261904761905,0.747777777777778,0.622261904761905,0.69,0.712013295346629,0.494444444444444,0.3375,0.505555555555556,0.68
lenalidomide,0.887,0.613733978084933,0.794722222222222,0.591208791208791,0.439638656043425,0.964344532952129,0.516666666666667,0.142707421533338,0.783952827112537,0.82,0.77,0.802857142857143,0.836428571428571,0.802857142857143,0.82,0.7954329004329,0.494444444444444,0.406111111111111,0.523055555555555,0.795
Axitinib,0.95675,0.732423461417477,0.862777777777778,0.725,0.508790361763056,0.983793644858974,0.516666666666667,0.0581637207180755,1,0.83,0.895,0.888333333333333,0.851666666666667,0.888333333333333,0.83,0.854242424242424,0.494444444444444,0.410833333333333,0.464444444444444,0.8625
